"Daily Weather Observations for Sydney, New South Wales for December 2021"
"Prepared at 13:00 UTC on Sunday  2 January 2022   IDCJDW2124.202112"
"Copyright 2003 Commonwealth Bureau of Meteorology"
"Most observations from Observatory Hill, but some from Fort Denison and Sydney Airport."
"Sydney Airport is about 10 km to the south of Observatory Hill."
"Temperature, humidity and rainfall observations are from Sydney (Observatory Hill) {station 066214}"
"Pressure, cloud, evaporation and sunshine observations are from Sydney Airport AMO {station 066037}"
"Wind observations are from Fort Denison {station 066022}"

,"Date","Minimum temperature (°C)","Maximum temperature (°C)","Rainfall (mm)","Evaporation (mm)","Sunshine (hours)","Direction of maximum wind gust ","Speed of maximum wind gust (km/h)","Time of maximum wind gust","9am Temperature (°C)","9am relative humidity (%)","9am cloud amount (oktas)","9am wind direction","9am wind speed (km/h)","9am MSL pressure (hPa)","3pm Temperature (°C)","3pm relative humidity (%)","3pm cloud amount (oktas)","3pm wind direction","3pm wind speed (km/h)","3pm MSL pressure (hPa)"
,2021-12-1,19.3,26.8,1.0,2.0,6.9,E,33,11:49,22.8,80,7,NE,11,1016.3,26.2,61,5,ENE,20,1014.6
,2021-12-2,18.3,27.4,0,6.4,10.9,ENE,37,16:18,22.8,79,3,ESE,6,1017.2,27.1,63,1,E,26,1015.2
,2021-12-3,18.5,27.3,0.4,8.8,8.0,S,57,12:43,23.3,75,0,E,11,1014.2,22.9,73,8,SSE,31,1015.3
,2021-12-4,17.9,23.1,0.2,5.6,0.2,SSE,54,14:37,19.5,86,8,S,19,1013.8,22.1,61,7,SSE,31,1013.5
,2021-12-5,16.8,19.7,0.4,8.0,0.0,S,43,01:06,17.3,86,8,SSW,6,1021.7,18.7,62,8,ESE,24,1022.2
,2021-12-6,16.7,23.3,1.0,5.0,0.0,E,31,01:58,19.7,65,8,E,13,1020.4,20.9,60,8,NE,17,1017.6
,2021-12-7,17.5,26.9,0,3.0,6.6,NNE,43,15:33,21.4,72,7,W,7,1012.7,26.2,68,3,ENE,20,1008.9
,2021-12-8,17.5,20.1,15.4,5.4,0.0,S,56,01:59,17.9,89,8,SSW,22,1014.5,18.7,84,8,S,17,1013.0
,2021-12-9,16.2,24.7,14.2,1.8,8.0,W,39,01:13,19.8,87,6,SSE,13,1010.7,23.6,74,5,SE,20,1007.6
,2021-12-10,13.9,22.7,18.4,6.4,4.7,WNW,56,10:50,18.2,63,1,WNW,19,1005.7,15.6,94,8,W,24,1006.4
,2021-12-11,14.1,22.6,10.0,5.2,8.0,S,59,14:08,17.0,68,7,SSW,20,1014.9,21.6,55,3,S,39,1014.8
,2021-12-12,15.1,23.6,0.4,7.4,10.5,SSE,44,12:18,18.4,71,6,SSW,20,1018.5,22.0,58,2,S,28,1016.6
,2021-12-13,16.2,24.8,0,7.8,11.6,ESE,33,12:06,20.6,57,3,SSW,11,1016.5,23.7,56,1,ESE,19,1014.0
,2021-12-14,14.9,25.8,0,8.0,11.6,ESE,26,13:04,20.4,72,7,WNW,7,1015.0,25.3,59,7,E,20,1014.6
,2021-12-15,16.3,28.0,0,5.0,12.1,SSW,57,19:12,21.4,76,0,WSW,6,1013.7,27.0,51,1,ENE,20,1008.8
,2021-12-16,20.0,25.7,6.2,11.6,6.3,SSE,41,14:14,21.8,82,7,S,17,1013.1,22.7,73,7,SE,20,1013.6
,2021-12-17,18.4,26.4,0,6.2,6.3,ENE,41,17:39,21.4,79,7,S,4,1018.4,26.0,60,3,E,24,1015.3
,2021-12-18,19.0,30.9,0,5.2,10.8,SSW,59,22:31,23.9,77,7,E,11,1013.9,29.5,63,5,NE,13,1009.5
,2021-12-19,21.4,34.6,3.4,11.4,4.4,WSW,78,14:24,26.9,69,7,NNE,13,1009.3,33.1,36,7,W,31,1006.0
,2021-12-20,20.4,29.1,0.2,8.0,10.4,ENE,31,15:39,24.4,76,7,SSE,11,1014.1,28.1,70,1,E,20,1011.2
,2021-12-21,21.2,31.5,0,7.2,13.4,ESE,28,12:57,26.1,62,1,S,9,1012.5,30.3,42,1,SE,13,1009.9
,2021-12-22,21.3,28.5,0,12.2,2.5,S,33,23:41,22.8,78,8,SSW,11,1012.6,28.1,62,7,SE,20,1010.9
,2021-12-23,21.0,27.0,18.0,6.2,1.3,ENE,35,14:45,22.5,95,8,NNE,4,1012.5,26.9,84,7,ENE,20,1010.8
,2021-12-24,19.8,28.1,10.6,1.6,9.8,SSW,37,02:34,21.6,82,4,S,22,1015.3,27.7,67,1,ESE,17,1013.2
,2021-12-25,20.7,29.4,0,5.0,10.6,ENE,44,14:53,24.4,80,3,E,6,1014.9,28.9,67,1,NE,28,1012.0
,2021-12-26,20.4,27.3,0,12.8,4.0,SSW,56,16:58,24.8,78,7,SSE,19,1015.0,24.4,75,7,S,20,1013.1
,2021-12-27,18.4,22.8,5.0,6.4,1.6,S,59,11:37,19.7,79,7,SSW,26,1017.8,21.5,67,7,S,30,1017.3
,2021-12-28,16.1,22.5,18.0,6.4,3.5,SSE,46,23:22,17.7,83,7,WSW,13,1020.0,20.8,65,7,ENE,17,1019.2
,2021-12-29,14.9,23.8,5.4,5.4,7.8,SSW,28,13:15,17.3,89,6,W,19,1019.3,19.6,88,7,N,7,1017.4
,2021-12-30,15.7,27.2,4.6,5.0,12.9,NE,41,16:47,20.7,75,1,WNW,13,1017.7,26.6,59,1,E,24,1015.9
,2021-12-31,17.6,28.1,0,11.2,12.6,ENE,46,14:54,22.4,73,1,NNE,17,1016.4,27.4,61,1,NE,22,1013.9
