"Daily Weather Observations for Sydney, New South Wales for June 2022"
"Prepared at 13:00 UTC on Saturday  2 July 2022   IDCJDW2124.202206"
"Copyright 2003 Commonwealth Bureau of Meteorology"
"Most observations from Observatory Hill, but some from Fort Denison and Sydney Airport."
"Sydney Airport is about 10 km to the south of Observatory Hill."
"Temperature, humidity and rainfall observations are from Sydney (Observatory Hill) {station 066214}"
"Pressure, cloud, evaporation and sunshine observations are from Sydney Airport AMO {station 066037}"
"Wind observations are from Fort Denison {station 066022}"

,"Date","Minimum temperature (°C)","Maximum temperature (°C)","Rainfall (mm)","Evaporation (mm)","Sunshine (hours)","Direction of maximum wind gust ","Speed of maximum wind gust (km/h)","Time of maximum wind gust","9am Temperature (°C)","9am relative humidity (%)","9am cloud amount (oktas)","9am wind direction","9am wind speed (km/h)","9am MSL pressure (hPa)","3pm Temperature (°C)","3pm relative humidity (%)","3pm cloud amount (oktas)","3pm wind direction","3pm wind speed (km/h)","3pm MSL pressure (hPa)"
,2022-06-1,8.5,15.0,0,4.4,9.3,WSW,76,12:17,11.0,50,1,WNW,33,1005.9,14.7,39,1,W,41,1007.7
,2022-06-2,8.1,18.1,0,5.8,7.1,W,35,01:29,10.2,74,7,W,24,1020.7,17.8,50,5,WNW,11,1018.6
,2022-06-3,7.5,16.5,0,2.0,1.3,N,35,17:51,9.9,88,7,W,15,1017.7,14.6,61,8,N,17,1012.0
,2022-06-4,8.7,18.4,0.4,1.4,9.4,W,44,09:51,11.4,72,1,W,22,1012.2,18.3,46,1,W,28,1011.1
,2022-06-5,10.3,17.7,0,3.8,4.9,NNW,52,13:11,13.0,67,6,N,30,1012.6,15.9,54,7,NNW,31,1007.5
,2022-06-6,10.4,17.4,0.8,4.6,9.2,W,94,05:26,12.2,58,1,NW,33,1004.7,17.0,35,1,WNW,28,1006.1
,2022-06-7,9.2,17.5,0,5.2,9.4,W,59,13:04,12.7,55,3,NNW,19,1011.6,16.9,40,2,NW,28,1008.4
,2022-06-8,7.3,15.8,0,5.0,9.4,,,,10.2,58,1,WNW,17,1015.4,15.5,38,1,W,26,1013.9
,2022-06-9,6.0,16.9,0,4.8,9.2,W,52,14:04,9.3,66,4,WNW,13,1014.7,16.0,39,1,WSW,35,1012.0
,2022-06-10,7.8,17.7,0,3.8,9.3,WSW,50,14:13,11.3,69,1,WNW,11,1014.8,16.8,39,1,W,30,1012.5
,2022-06-11,8.1,17.9,0,2.2,9.3,W,54,17:18,10.5,68,1,W,20,1016.3,17.8,37,2,W,26,1011.5
,2022-06-12,9.1,17.7,0,4.0,9.3,W,56,13:59,12.4,55,0,WNW,20,1012.2,16.7,42,1,WSW,28,1012.1
,2022-06-13,,19.1,,3.6,9.2,W,30,08:45,13.3,65,1,W,20,1021.9,17.5,44,1,E,9,1020.6
,2022-06-14,,18.8,,2.8,9.2,W,26,08:07,,,3,W,19,1025.0,18.0,47,2,N,13,1020.7
,2022-06-15,6.2,21.1,0,1.6,9.3,WNW,30,23:01,8.9,90,1,WNW,17,1020.3,21.1,34,1,WNW,6,1016.8
,2022-06-16,8.9,21.6,0,3.2,7.8,SW,24,17:15,13.4,59,5,N,2,1017.8,21.0,44,7,WNW,9,1014.7
,2022-06-17,9.6,19.1,0,4.0,8.6,W,33,09:35,12.1,77,2,WNW,24,1019.6,18.0,52,3,SSW,17,1018.7
,2022-06-18,10.7,17.9,0,2.4,6.7,SSW,46,14:03,12.3,72,2,W,28,1025.2,17.1,65,5,SSW,28,1024.7
,2022-06-19,9.4,18.8,0.4,2.8,7.2,SSW,37,13:25,11.2,86,3,WNW,22,1027.5,17.0,72,5,SSW,19,1025.3
,2022-06-20,11.2,,11.6,0.8,2.1,W,24,05:10,12.3,100,6,WNW,13,1025.0,15.6,80,7,NNW,15,1022.3
,2022-06-21,8.7,21.8,,1.4,6.6,WSW,26,23:58,10.0,100,3,W,7,1021.1,21.4,55,5,ENE,2,1017.9
,2022-06-22,8.1,19.3,0,3.0,8.9,WSW,39,00:51,10.5,77,2,W,24,1024.5,19.2,38,3,WNW,6,1022.9
,2022-06-23,8.1,19.3,0,1.4,9.1,W,41,15:45,9.8,86,4,W,13,1024.9,18.2,48,5,WSW,17,1020.9
,2022-06-24,8.6,18.8,0,2.4,4.7,WNW,31,23:02,12.6,74,7,W,15,1019.3,17.0,55,7,NW,7,1017.1
,2022-06-25,10.9,21.2,0,4.0,8.6,W,35,13:53,13.1,69,1,WSW,19,1021.8,20.8,43,1,W,17,1020.3
,2022-06-26,8.7,20.8,0,2.0,5.5,W,24,05:23,10.3,88,7,WNW,17,1024.9,20.0,46,7,W,7,1022.3
,2022-06-27,9.2,16.0,0,1.4,6.6,SSW,56,15:42,11.7,68,2,W,24,1026.1,14.2,52,6,SSW,30,1026.6
,2022-06-28,6.9,15.7,2.6,3.6,5.6,S,39,12:40,9.1,80,4,W,20,1031.2,14.3,72,6,SSW,15,1029.1
,2022-06-29,8.0,17.9,1.0,1.2,6.2,N,31,12:55,10.2,95,7,WNW,13,1027.0,17.1,56,8,N,20,1022.6
,2022-06-30,10.2,16.9,0,3.8,2.4,W,31,10:53,12.2,81,7,WNW,11,1024.2,16.2,54,7,SSW,13,1023.1
